/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect1-vm1-4Write-1files-iodpeth128-try2:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6155 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq1-nconnect1-vm1-4Write-1files-iodpeth128-try3:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6164 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect1-vm1-4Write-1files-iodpeth128-try2:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6163 MiB/60007msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect1-vm1-4Write-1files-iodpeth128-try3:  write: IOPS=26.3k, BW= 103 MiB/s (108MB/s)(6170 MiB/60006msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq2-nconnect1-vm1-4Write-1files-iodpeth128-jobcount16-try1:  write: IOPS=42.4k, BW= 166 MiB/s (174MB/s)(12.4GiB/76300msec)
########
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect4-vm1-64Write-1files-iodpeth128-try1:  write: IOPS=15.2k, BW= 953 MiB/s (999MB/s)(27.9GiB/30008msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect4-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.3k, BW= 955 MiB/s (1001MB/s)(27.0GiB/30009msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-64Write-1files-iodpeth128-try1:  write: IOPS=15.3k, BW= 956 MiB/s (1003MB/s)(28.0GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq0-nconnect2-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.3k, BW= 958 MiB/s (1004MB/s)(28.1GiB/30011msec)
/nfsv3/poc/fio-platform-results/l32/l32v2-irq3-nconnect2-vm1-64Write-1files-iodpeth96-try1:  write: IOPS=15.5k, BW= 968 MiB/s (1015MB/s)(28.4GiB/30006msec)
########
